com.samsung.shealth.sleep_snoring,6266001,3
duration,create_sh_ver,start_time,custom,modify_sh_ver,update_time,create_time,time_offset,deviceuuid,pkg_name,end_time,datauuid
175197,,2023-11-08 08:23:36.113,,,2023-11-08 13:05:17.521,2023-11-08 13:05:17.521,UTC-0300,S5IV8LmZrH,com.sec.android.app.shealth,2023-11-08 08:26:31.310,8e95e275-d144-4a7f-8785-be62923b5c3b,
117046,,2023-11-08 08:36:35.101,,,2023-11-08 13:05:17.521,2023-11-08 13:05:17.521,UTC-0300,S5IV8LmZrH,com.sec.android.app.shealth,2023-11-08 08:38:32.147,67cb5581-5096-49c4-8db7-96e3d6da3bdd,
164341,,2023-11-08 08:50:11.032,,,2023-11-08 13:05:17.521,2023-11-08 13:05:17.521,UTC-0300,S5IV8LmZrH,com.sec.android.app.shealth,2023-11-08 08:52:55.373,456259f3-3539-4490-b86e-e5c087720de3,
85013,,2023-11-08 09:35:03.892,,,2023-11-08 13:05:17.521,2023-11-08 13:05:17.521,UTC-0300,S5IV8LmZrH,com.sec.android.app.shealth,2023-11-08 09:36:28.905,6a9892da-bf65-4afc-9831-9f5bd2b0b30c,
114819,,2023-11-08 09:42:05.841,,,2023-11-08 13:05:17.521,2023-11-08 13:05:17.521,UTC-0300,S5IV8LmZrH,com.sec.android.app.shealth,2023-11-08 09:44:00.660,3e008697-05c8-43ff-ad8d-92cfd2145ba5,
208713,,2023-11-08 09:45:03.711,,,2023-11-08 13:05:17.521,2023-11-08 13:05:17.521,UTC-0300,S5IV8LmZrH,com.sec.android.app.shealth,2023-11-08 09:48:32.424,0eb660b5-9fda-4210-a7ad-1c4e0bc47aca,
138052,,2023-11-08 09:49:09.179,,,2023-11-08 13:05:17.521,2023-11-08 13:05:17.521,UTC-0300,S5IV8LmZrH,com.sec.android.app.shealth,2023-11-08 09:51:27.231,054d604a-d7b1-41bd-95c9-2390f9ee1fb6,
388992,,2023-11-08 09:52:03.709,,,2023-11-08 13:05:17.521,2023-11-08 13:05:17.521,UTC-0300,S5IV8LmZrH,com.sec.android.app.shealth,2023-11-08 09:58:32.701,5aff19ec-4886-486a-8080-dd622dbac164,
86682,,2023-11-08 11:30:35.376,,,2023-11-08 13:05:17.522,2023-11-08 13:05:17.522,UTC-0300,S5IV8LmZrH,com.sec.android.app.shealth,2023-11-08 11:32:02.058,09c93c7d-f454-4e3d-85b3-c3fc07405ce0,
79636,,2023-11-08 12:36:09.548,,,2023-11-08 13:05:17.522,2023-11-08 13:05:17.522,UTC-0300,S5IV8LmZrH,com.sec.android.app.shealth,2023-11-08 12:37:29.184,615bd123-b84d-416e-81aa-f064d2ed09c7,
713122,,2023-11-09 07:17:05.587,,,2023-11-09 13:17:02.754,2023-11-09 13:17:02.754,UTC-0300,S5IV8LmZrH,com.sec.android.app.shealth,2023-11-09 07:28:58.709,39e11ba0-ca0f-472a-b369-faf5eb7a76c4,
140092,,2023-11-09 07:41:37.227,,,2023-11-09 13:17:02.755,2023-11-09 13:17:02.755,UTC-0300,S5IV8LmZrH,com.sec.android.app.shealth,2023-11-09 07:43:57.319,316d35da-00c9-4c98-8cfb-b611d2e73ac6,
296669,,2023-11-09 07:44:34.816,,,2023-11-09 13:17:02.755,2023-11-09 13:17:02.755,UTC-0300,S5IV8LmZrH,com.sec.android.app.shealth,2023-11-09 07:49:31.485,d8cab762-20c9-4d2f-88db-debdd78481dc,
88996,,2023-11-09 08:08:05.560,,,2023-11-09 13:17:02.755,2023-11-09 13:17:02.755,UTC-0300,S5IV8LmZrH,com.sec.android.app.shealth,2023-11-09 08:09:34.556,4f1c9b4a-c27f-4728-b799-a5d4836c97b8,
84734,,2023-11-09 08:11:36.856,,,2023-11-09 13:17:02.755,2023-11-09 13:17:02.755,UTC-0300,S5IV8LmZrH,com.sec.android.app.shealth,2023-11-09 08:13:01.590,a5fb79d7-b84c-4208-a700-b5de6dd11c9b,
81398,,2023-11-09 08:18:39.818,,,2023-11-09 13:17:02.755,2023-11-09 13:17:02.755,UTC-0300,S5IV8LmZrH,com.sec.android.app.shealth,2023-11-09 08:20:01.216,27a616da-0e4a-4081-8485-15b770670616,
175657,,2023-11-09 08:20:35.275,,,2023-11-09 13:17:02.755,2023-11-09 13:17:02.755,UTC-0300,S5IV8LmZrH,com.sec.android.app.shealth,2023-11-09 08:23:30.932,fb4e883a-5942-45df-bb1e-4fb26a2a4423,
